country,year,suicides_no,population,gdp_for_year,gdp_per_capita,population_change,gdp_per_capita_change,15-24 years,25-34 years,35-54 years,5-14 years,55-74 years,75+ years,mean_age,female
Aruba,2002,9,88284,1941094972,21987,2239,-0.01500886887706372,0.13693307960672377,0.15509039010466222,0.36092610212496035,0.16741425399845952,0.15001585791309863,0.02962031625209551,37.57594807666168,0.5234583843051969
Aruba,2003,2,90457,2021301676,22345,2173,0.016021481315730588,0.1391600428933084,0.14893264202880926,0.3623489613849674,0.1663995047370574,0.15345412737543807,0.029704721580419424,37.720298042163684,0.5249455542412417
Aruba,2004,8,92335,2228279330,24133,1878,0.07408942112460117,0.1412790382845075,0.1436724968863378,0.36338333243082255,0.16458547679644772,0.1572751394379163,0.029804516163968158,37.89012833703363,0.5259868955434017
Aruba,2005,10,93728,2331005587,24870,1393,0.029634097305991154,0.143169597132127,0.13928601911915328,0.36411744622738135,0.16196867531580744,0.16138187094571527,0.030076391259815635,38.0932592181632,0.5266195800614544
Aruba,2006,9,94508,2421474860,25622,780,0.02934977753493092,0.14025267702205105,0.1367291657849071,0.36381047107123204,0.1595843738096246,0.1679117111778897,0.03171160113429551,38.48399077326787,0.5268654505438694
Aruba,2007,8,94814,2623726257,27672,306,0.07408210465452443,0.13698398970616155,0.13481131478473643,0.3623199105617314,0.15744510304385428,0.1750058008311009,0.03343388107241547,38.880123188558656,0.5267260109266564
Aruba,2008,4,94814,2791960894,29447,0,0.060277787210921314,0.1341574029151813,0.1329550488324509,0.3596831691522349,0.15551500833210286,0.18246250553715695,0.03522686523087308,39.26703862298817,0.526293585335499
Aruba,2009,4,94795,2498932961,26361,-19,-0.11706687910170327,0.13220106545703889,0.1305448599609684,0.3558942982224801,0.1539954638957751,0.1902526504562477,0.037111662007489846,39.636478717231924,0.5259138140197268
Aruba,2010,7,95006,2467703911,25974,211,-0.0148995148995149,0.1312338168115698,0.1268972485948256,0.3512304486032461,0.15327453002968233,0.19836641896301285,0.038997536997663305,39.97831715891628,0.5256825884680968
Aruba,2011,9,95488,2584463687,27066,482,0.040345821325648415,0.13591236595174264,0.12257037533512065,0.34642049262734587,0.15067861930294907,0.20396280160857908,0.04045534517426273,40.1873533847185,0.5255634215817694
Australia,1985,1861,14562500,180190994861,12374,NA,NA,0.18264721030042919,0.17682403433476396,0.25678969957081543,0.17318454935622318,0.16922231759656653,0.04133218884120172,36.7577339055794,0.5022351931330472
Australia,1986,2044,14809800,181977476217,12288,247300,-0.006998697916666667,0.18123134681089548,0.17675458142581263,0.2606449783251631,0.16819943550891978,0.17004280949101272,0.04312684843819633,37.05684749287634,0.5016070439843887
Australia,1987,2164,15046500,189041159344,12564,236700,0.021967526265520534,0.18034758914033164,0.17768916359286213,0.2646130329312465,0.16390522712923272,0.1691822018409597,0.04426278536536736,37.243445319509526,0.5017113614461834
Australia,1988,2172,15312100,235699941793,15393,265600,0.1837848372636913,0.17868874942039303,0.17827731010116182,0.26881355268055984,0.16096420477922688,0.16789989616055276,0.04535628685810568,37.397123843235086,0.5017143304967967
Australia,1989,2066,15570600,299317645143,19223,258500,0.19924049315923634,0.1765506788434614,0.17872143655350467,0.27253927273194356,0.15934517616533725,0.16668593374693333,0.046157501958819826,37.50834906811555,0.5022349813109321
Australia,1990,2202,15807000,310838014621,19665,236400,0.022476481057716755,0.17465047131017902,0.17816157398620863,0.27680141709369266,0.15795533624343644,0.16545834124122225,0.04697286012526096,37.620959068767,0.502366040361865
Australia,1991,2288,16012100,325358292128,20320,205100,0.032234251968503935,0.17241960767169828,0.17645405661968136,0.28095627681565816,0.15699377345882176,0.16518133161796392,0.047994953816176515,37.7713416728599,0.5026885917524871
Australia,1992,2251,16203500,324878105053,20050,191400,-0.013466334164588529,0.17012373869842934,0.174641281204678,0.2849446107322492,0.1560527046625729,0.16513099021816274,0.0491066744839078,37.932329434998614,0.5028913506341223
Australia,1993,2038,16370000,311528948848,19030,166500,-0.053599579611140306,0.1677703115455101,0.17244960293219302,0.2889187538179597,0.1551435552840562,0.16573610262675625,0.04998167379352474,38.1029627367135,0.5030116065974344
Australia,1994,2283,16549400,322201314424,19469,179400,0.02254866711181879,0.1651238111351469,0.17078564781804778,0.2925483703336677,0.15428353898026514,0.16657401476790698,0.0506846169649655,38.26906111399809,0.5030937677498882
